은행명,상품명,단/복리,저축기간,금리,최대우대금리
우리은행,WON플러스예금,단리,1,3.0,3.0
우리은행,WON플러스예금,단리,3,3.5,3.5
우리은행,WON플러스예금,단리,6,3.5,3.5
우리은행,WON플러스예금,단리,12,3.55,3.55
우리은행,WON플러스예금,단리,24,3.0,3.0
우리은행,WON플러스예금,단리,36,3.0,3.0
한국스탠다드차타드은행,e-그린세이브예금,단리,1,3.0,3.2
한국스탠다드차타드은행,e-그린세이브예금,단리,3,3.4,3.6
한국스탠다드차타드은행,e-그린세이브예금,단리,6,3.4,3.6
한국스탠다드차타드은행,e-그린세이브예금,단리,12,3.4,3.7
대구은행,DGB주거래우대예금(첫만남고객형),단리,6,2.46,3.11
대구은행,DGB주거래우대예금(첫만남고객형),단리,12,3.2,3.85
대구은행,DGB주거래우대예금(첫만남고객형),단리,24,3.22,3.87
대구은행,DGB주거래우대예금(첫만남고객형),단리,36,3.24,3.89
대구은행,DGB행복파트너예금(일반형),단리,3,1.92,2.37
대구은행,DGB행복파트너예금(일반형),단리,6,2.42,2.87
대구은행,DGB행복파트너예금(일반형),단리,12,3.16,3.61
대구은행,DGB행복파트너예금(일반형),단리,24,3.18,3.63
대구은행,DGB행복파트너예금(일반형),단리,36,3.2,3.65
대구은행,DGB함께예금,단리,12,3.7,4.15
대구은행,IM스마트예금,단리,1,2.2,2.25
대구은행,IM스마트예금,단리,3,2.4,2.45
대구은행,IM스마트예금,단리,6,3.25,3.5
대구은행,IM스마트예금,단리,12,3.4,3.65
대구은행,IM스마트예금,단리,24,3.2,3.45
대구은행,IM스마트예금,단리,36,3.2,3.45
부산은행,LIVE정기예금,단리,1,2.25,2.25
부산은행,LIVE정기예금,단리,3,2.45,3.4
부산은행,LIVE정기예금,단리,6,2.55,3.4
부산은행,LIVE정기예금,단리,12,2.75,3.4
부산은행,LIVE정기예금,단리,24,2.8,2.8
부산은행,LIVE정기예금,단리,36,2.8,2.8
부산은행,더(The) 특판 정기예금,단리,1,2.2,2.85
부산은행,더(The) 특판 정기예금,단리,3,2.75,3.4
부산은행,더(The) 특판 정기예금,단리,6,3.0,3.65
부산은행,더(The) 특판 정기예금,단리,12,3.0,3.65
